"code_id","mel_code"
0,0
3,1
5,2
6,3
9,4
10,5
12,6
15,7
17,8
18,9
20,10
23,11
24,12
27,13
29,14
30,15
33,16
34,17
36,18
39,19
40,20
43,21
45,22
46,23
48,24
51,25
53,26
54,27
57,28
58,29
60,30
63,31
65,32
66,33
68,34
71,35
72,36
75,37
77,38
78,39
80,40
83,41
85,42
86,43
89,44
90,45
92,46
95,47
96,48
99,49
101,50
102,51
105,52
106,53
108,54
111,55
113,56
114,57
116,58
119,59
120,60
123,61
125,62
126,63
129,64
130,65
132,66
135,67
136,68
139,69
141,70
142,71
144,72
147,73
149,74
150,75
153,76
154,77
156,78
159,79
160,80
163,81
165,82
166,83
169,84
170,85
172,86
175,87
177,88
178,89
180,90
183,91
184,92
187,93
189,94
190,95
192,96
195,97
197,98
198,99
201,100
202,101
204,102
207,103
209,104
210,105
212,106
215,107
216,108
219,109
221,110
222,111
225,112
226,113
228,114
231,115
232,116
235,117
237,118
238,119
240,120
243,121
245,122
246,123
249,124
250,125
252,126
255,127
257,128
258,129
260,130
263,131
264,132
267,133
269,134
270,135
272,136
275,137
277,138
278,139
281,140
282,141
284,142
287,143
288,144
291,145
293,146
294,147
297,148
298,149
300,150
303,151
305,152
306,153
308,154
311,155
312,156
315,157
317,158
318,159
320,160
323,161
325,162
326,163
329,164
330,165
332,166
335,167
337,168
338,169
340,170
343,171
344,172
347,173
349,174
350,175
353,176
354,177
356,178
359,179
360,180
363,181
365,182
366,183
368,184
371,185
373,186
374,187
377,188
378,189
380,190
383,191
384,192
387,193
389,194
390,195
393,196
394,197
396,198
399,199
401,200
402,201
404,202
407,203
408,204
411,205
413,206
414,207
417,208
418,209
420,210
423,211
424,212
427,213
429,214
430,215
432,216
435,217
437,218
438,219
441,220
442,221
444,222
447,223
449,224
450,225
452,226
455,227
456,228
459,229
461,230
462,231
464,232
467,233
469,234
470,235
473,236
474,237
476,238
479,239
480,240
483,241
485,242
486,243
489,244
490,245
492,246
495,247
497,248
498,249
500,250
503,251
504,252
507,253
509,254
510,255
2049,256
